npa,country,region,state,timezone,status
655,001,Easily Recognizable Code,,,reserved
656,US,General Purpose Code | Overlay 813/656,FL,E,active
657,US,General Purpose Code | Overlay 657/714,CA,P,active
658,JM,General Purpose Code | Overlay 658/876,JAMAICA,E,active
659,US,General Purpose Code | Overlay 205/659,AL,C,active
660,US,General Purpose Code,MO,C,active
661,US,General Purpose Code,CA,P,active
662,US,General Purpose Code | Overlay 471/662,MS,C,active
663,001,General Purpose Code,,,available
664,MS,General Purpose Code,MONTSERRAT,A,active
665,001,General Purpose Code,,,reserved
666,001,Easily Recognizable Code,,,available
667,US,General Purpose Code | Overlay 410/443/667,MD,E,active
668,001,General Purpose Code,,,available
669,US,General Purpose Code | Overlay 408/669,CA,P,active
670,US,General Purpose Code,CNMI,(UTC+10),active
671,US,General Purpose Code,GU,(UTC+10),active
672,CA,General Purpose Code | Overlay 236/250/257/604/672/778,BRITISH COLUMBIA,P,active
673,001,General Purpose Code,,,reserved
674,001,General Purpose Code,,,available
675,001,General Purpose Code,,,available
676,001,General Purpose Code,,,reserved
677,001,Easily Recognizable Code,,,reserved
678,US,General Purpose Code | Overlay 404/470/678/770/943,GA,E,active
679,US,General Purpose Code | Overlay 313/679,MI,E,active
680,US,General Purpose Code | Overlay 315/680,NY,E,active
681,US,General Purpose Code | Overlay 304/681,WV,E,active
682,US,General Purpose Code | Overlay 682/817,TX,C,active
683,CA,central and northeastern Ontario | General Purpose Code | Overlay 249/683/705,ONTARIO,E,active
684,US,General Purpose Code,AS,UTC-11,active
685,001,General Purpose Code,,,available
686,US,General Purpose Code | Overlay 686/804,VA,E,active
687,001,General Purpose Code,,,reserved
688,001,Easily Recognizable Code,,,reserved
689,US,General Purpose Code | Overlay 321/407/689,FL,E,active
690,001,General Purpose Code,,,reserved
691,001,General Purpose Code,,,reserved
692,001,General Purpose Code,,,reserved
693,001,General Purpose Code,,,reserved
694,001,General Purpose Code,,,reserved
695,001,General Purpose Code,,,reserved
696,001,General Purpose Code,,,reserved
697,001,General Purpose Code,,,reserved
698,001,General Purpose Code,,,reserved
699,001,Easily Recognizable Code,,,reserved
700,001,Easily Recognizable Code,NANP AREA,E,active
701,US,General Purpose Code,ND,CM,active
702,US,General Purpose Code | Overlay 702/725,NV,P,active
703,US,General Purpose Code | Overlay 571/703,VA,E,active
704,US,General Purpose Code | Overlay 704/980,NC,E,active
705,CA,General Purpose Code | Overlay 249/683/705,ONTARIO,E,active
706,US,General Purpose Code | Overlay 706/762,GA,E,active
707,US,General Purpose Code | Overlay 369/707,CA,P,active
708,US,General Purpose Code | Overlay 464/708,IL,C,active
709,CA,General Purpose Code | Overlay 709/879,NEWFOUNDLAND AND LABRADOR,N,active
710,US,General Purpose Code,,E,active
711,001,Easily Recognizable Code,,,unavailable
712,US,General Purpose Code,IA,C,active
713,US,General Purpose Code | Overlay 281/346/621/713/832,TX,C,active
714,US,General Purpose Code | Overlay 657/714,CA,P,active
715,US,General Purpose Code | Overlay 534/715,WI,C,active
716,US,General Purpose Code | Overlay 624/716,NY,E,active
717,US,General Purpose Code | Overlay 223/717,PA,E,active
718,US,General Purpose Code | Overlay 347/465/718/917/929,NY,E,active
719,US,General Purpose Code,CO,M,active
720,US,General Purpose Code | Overlay 303/720/983,CO,M,active
721,SX,General Purpose Code,SINT MAARTEN,A,active
722,001,Easily Recognizable Code,,,available
723,001,General Purpose Code,,,reserved
724,US,General Purpose Code | Overlay 724/878,PA,E,active
725,US,General Purpose Code | Overlay 702/725,NV,P,active
726,US,General Purpose Code | Overlay 210/726,TX,C,active
727,US,General Purpose Code,FL,E,active
728,US,General Purpose Code | Overlay 561/728,FL,E,active
729,US,General Purpose Code | Overlay 423/729,TN,EC,active
730,US,General Purpose Code | Overlay 618/730,IL,C,active
731,US,General Purpose Code,TN,C,active
732,US,General Purpose Code | Overlay 732/848,NJ,E,active
733,001,Easily Recognizable Code,,,available
734,US,General Purpose Code | Overlay 679/734,MI,E,active
735,001,General Purpose Code,,,available
736,001,General Purpose Code,,,available
737,US,General Purpose Code | Overlay 512/737,TX,C,active
738,US,General Purpose Code | Overlay 213/323/738,CA,P,active
739,001,General Purpose Code,,,available
740,US,General Purpose Code | Overlay 220/740,OH,E,active
741,001,General Purpose Code,,,reserved
742,CA,General Purpose Code | Overlay 289/365/742/905,ONTARIO,E,active
743,US,General Purpose Code | Overlay 336/743,NC,E,active
744,001,Easily Recognizable Code,,,available
745,001,General Purpose Code,,,available
